Customer Name,Drink,Qty,Price,Branch,Payment Type,Card Number,Date/Time
culture,???,-1,NaN,!!??,UNKNOWN,XXXXX,BAD_DATE
range,???,-1,NaN,!!??,UNKNOWN,XXXXX,BAD_DATE
leader,???,-1,NaN,!!??,UNKNOWN,XXXXX,BAD_DATE
,,,,,,,
,,,,,,,
,,,,,,,
land,???,-1,NaN,!!??,UNKNOWN,XXXXX,BAD_DATE
including,???,-1,NaN,!!??,UNKNOWN,XXXXX,BAD_DATE
democratic,???,-1,NaN,!!??,UNKNOWN,XXXXX,BAD_DATE
deal,???,-1,NaN,!!??,UNKNOWN,XXXXX,BAD_DATE
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
